振動,温度,電力,油塗布,スイッチ,故障
83,287,1117,"F","A","T"
99,295,1108,"F","C","T"
45,254,1071,"F","C","F"
85,287,1115,"F","B","T"
13,254,1071,"F","D","F"
108,300,1099,"F","D","T"
44,254,1071,"F","A","F"
117,303,1108,"F","C","T"
146,317,1119,"F","C","T"
136,312,1111,"F","B","T"
36,254,1071,"F","C","F"
75,282,1112,"F","C","T"
107,299,1100,"F","C","T"
34,254,1071,"F","C","F"
17,254,1071,"F","C","F"
50,254,1071,"F","C","F"
64,254,1071,"F","D","F"
55,254,1071,"F","C","F"
166,322,1136,"F","A","T"
70,279,1106,"F","D","T"
88,289,1114,"F","B","T"
102,297,1100,"F","D","T"
97,293,1112,"F","B","T"
135,311,1112,"F","A","T"
111,301,1099,"F","C","T"
114,303,1099,"F","A","T"
115,303,1101,"F","D","T"
5,254,1071,"F","D","F"
29,254,1071,"F","B","F"
105,298,1098,"F","D","T"
80,285,1114,"F","D","T"
93,291,1107,"F","C","T"
19,254,1071,"F","A","F"
157,318,1122,"F","C","T"
87,288,1116,"F","A","T"
61,254,1071,"F","C","F"
124,307,1115,"F","C","T"
58,254,1071,"F","A","F"
118,304,1107,"F","B","T"
14,254,1071,"F","B","F"
22,254,1071,"F","D","F"
120,305,1113,"F","A","T"
163,319,1136,"F","A","T"
37,254,1071,"F","D","F"
53,254,1071,"F","B","F"
56,254,1071,"F","B","F"
21,254,1071,"F","B","F"
68,277,1103,"F","B","T"
23,254,1071,"F","D","F"
122,306,1121,"F","A","T"
40,254,1071,"F","C","F"
66,275,1102,"F","B","T"
6,244,1050,"F","A","F"
31,244,1050,"F","C","F"
82,244,950,"F","D","T"
113,244,894,"F","A","T"
1,244,1050,"F","A","F"
146,244,837,"F","A","T"
147,244,834,"F","C","T"
187,244,746,"F","D","T"
104,244,910,"F","D","T"
150,244,829,"F","C","T"
27,244,1050,"F","A","F"
193,244,730,"F","B","T"
126,244,868,"F","B","T"
77,244,961,"F","B","T"
188,244,745,"F","A","T"
122,244,876,"F","B","T"
97,244,922,"F","A","T"
131,244,863,"F","D","T"
109,244,900,"F","D","T"
170,244,788,"F","A","T"
33,244,1050,"F","B","F"
79,244,955,"F","B","T"
84,244,944,"F","D","T"
24,244,1050,"F","C","F"
15,244,1050,"F","B","F"
37,244,1050,"F","C","F"
72,244,975,"F","D","T"
63,244,993,"F","D","T"
173,244,783,"F","B","T"
133,244,862,"F","D","T"
46,244,1050,"F","B","F"
144,244,843,"F","D","T"
14,244,1050,"F","D","F"
186,244,750,"F","B","T"
60,244,996,"F","D","T"
49,244,660,"F","A","T"
100,244,915,"F","B","T"
53,244,1008,"F","A","T"
116,244,891,"F","C","T"
47,244,662,"F","A","T"
94,244,929,"F","A","T"
137,244,854,"F","D","T"
107,244,904,"F","C","T"
138,244,854,"F","C","T"
176,244,774,"F","D","T"
118,244,886,"F","C","T"
115,244,892,"F","A","T"
92,244,935,"F","B","T"
85,244,944,"F","D","T"
160,244,814,"F","C","T"
66,244,985,"F","B","T"
4,244,1050,"F","D","F"
102,244,913,"F","D","T"
5,244,1050,"F","B","F"
194,244,728,"F","D","T"
93,244,933,"F","D","T"
75,244,964,"F","C","T"
95,244,925,"F","D","T"
22,244,1050,"F","C","F"
139,244,854,"F","C","T"
55,244,1003,"F","C","T"
167,244,796,"F","D","T"
165,244,801,"F","A","T"
57,244,1000,"F","D","T"
71,244,976,"F","B","T"
61,244,996,"F","A","T"
129,244,867,"F","B","T"
58,244,1000,"F","C","T"
13,244,1050,"F","B","F"
154,244,823,"F","B","T"
54,244,1007,"F","D","T"
143,244,844,"F","B","T"
89,244,939,"F","C","T"
59,244,996,"F","C","T"
12,244,1050,"F","A","F"
51,244,1014,"F","C","T"
34,244,1050,"F","B","F"
7,244,1050,"F","B","F"
21,244,1050,"F","D","F"
190,244,737,"F","C","T"
68,244,979,"F","C","T"
36,244,1050,"F","D","F"
86,244,943,"F","C","T"
108,244,904,"F","A","T"
171,244,787,"F","A","T"
132,244,863,"F","C","T"
30,244,1050,"F","D","F"
123,244,874,"F","B","T"
191,244,735,"F","B","T"
110,244,899,"F","C","T"
23,244,1050,"F","C","F"
69,244,978,"F","B","T"
45,244,1050,"F","C","F"
67,244,981,"F","B","T"
106,244,906,"F","B","T"
105,244,910,"F","C","T"
41,244,1050,"F","C","F"
149,244,833,"F","D","T"
189,244,741,"F","C","T"
125,244,870,"F","B","T"
140,244,852,"F","B","T"
184,244,753,"F","D","T"
135,244,859,"F","B","T"
183,244,755,"F","D","T"
90,244,939,"F","D","T"
11,244,1050,"F","D","F"
175,244,778,"F","D","T"
10,244,1050,"F","D","F"
81,244,951,"F","C","T"
35,244,1050,"F","B","F"
16,244,1050,"F","B","F"
168,244,792,"F","B","T"
9,244,1050,"F","C","F"
88,244,939,"F","C","T"
158,244,817,"F","C","T"
20,244,1050,"F","D","F"
91,244,939,"F","B","T"
179,244,764,"F","A","T"
18,244,1050,"F","D","F"
163,244,808,"F","A","T"
8,244,1050,"F","B","F"
111,244,896,"F","A","T"
127,244,868,"F","D","T"
119,244,882,"F","C","T"
76,244,963,"F","B","T"
156,244,818,"F","B","T"
151,244,829,"F","D","T"
121,244,877,"F","C","T"
164,244,805,"F","D","T"
162,244,811,"F","B","T"
56,244,1001,"F","D","T"
19,244,1050,"F","D","F"
39,244,1050,"F","C","F"
26,244,1050,"F","A","F"
142,244,847,"F","B","T"
98,244,920,"F","B","T"
65,244,986,"F","D","T"
42,244,1050,"F","D","F"
64,244,990,"F","B","T"
161,244,811,"F","D","T"
17,244,1050,"F","B","F"
180,244,760,"F","A","T"
29,244,1050,"F","B","F"
177,244,770,"F","A","T"
62,244,996,"F","D","T"
197,244,724,"F","D","T"
141,244,851,"F","B","T"
74,244,968,"F","D","T"
78,244,957,"F","A","T"
28,244,1050,"F","B","F"
101,244,915,"F","A","T"
70,244,977,"F","A","T"
0,244,1050,"F","A","F"
40,244,1050,"F","C","F"
44,244,1050,"F","B","F"
96,244,924,"F","B","T"
130,244,867,"F","D","T"
136,244,855,"F","A","T"
43,244,1050,"F","B","F"
48,244,659,"F","B","T"
52,244,1010,"F","D","T"
103,244,911,"F","D","T"
169,244,788,"F","B","T"
128,244,867,"F","A","T"
182,244,756,"F","A","T"
124,244,871,"F","C","T"
166,244,798,"F","C","T"
114,244,893,"F","D","T"
32,244,1050,"F","D","F"
83,244,946,"F","D","T"
2,244,1050,"F","B","F"
50,244,1015,"F","A","T"
155,244,822,"F","B","T"
3,244,1050,"F","D","F"
80,244,951,"F","B","T"
148,244,834,"F","B","T"
152,244,826,"F","D","T"
178,244,768,"F","C","T"
112,244,894,"F","D","T"
181,244,757,"F","A","T"
174,244,779,"F","C","T"
73,244,972,"F","D","T"
145,244,840,"F","A","T"
99,244,918,"F","B","T"
159,244,815,"F","C","T"
38,244,1050,"F","A","F"
185,244,753,"F","D","T"
117,244,889,"F","B","T"
196,244,727,"F","A","T"
192,244,732,"F","D","T"
120,244,878,"F","C","T"
172,244,786,"F","D","T"
153,244,823,"F","A","T"
134,244,861,"F","B","T"
195,244,727,"F","D","T"
87,244,942,"F","B","T"
157,244,817,"F","C","T"
25,244,1050,"F","A","F"
71,260,1098,"F","D","T"
108,284,1110,"F","A","T"
122,289,1088,"F","B","T"
129,294,1104,"F","A","T"
32,244,1088,"F","A","F"
98,280,1111,"F","B","T"
66,258,1095,"F","D","T"
36,244,1088,"F","A","F"
96,279,1107,"F","A","T"
18,244,1088,"F","C","F"
173,315,1160,"F","B","T"
148,306,1113,"F","A","T"
147,306,1109,"F","D","T"
132,297,1110,"F","D","T"
5,244,1088,"F","D","F"
40,244,1088,"F","A","F"
178,319,1175,"F","B","T"
162,311,1131,"F","B","T"
125,291,1098,"F","B","T"
22,244,1088,"F","C","F"
114,285,1104,"F","A","T"
76,264,1111,"F","A","T"
52,244,1088,"F","C","F"
7,244,1088,"F","A","F"
111,285,1107,"F","A","T"
94,278,1109,"F","C","T"
166,313,1135,"F","A","T"
142,304,1109,"F","A","T"
20,244,1088,"F","A","F"
130,295,1105,"F","A","T"
69,259,1093,"F","B","T"
177,318,1177,"F","B","T"
19,244,1088,"F","A","F"
84,271,1113,"F","B","T"
72,261,1102,"F","B","T"
51,244,1088,"F","A","F"
101,282,1108,"F","B","T"
10,244,1088,"F","B","F"
80,267,1118,"F","A","T"
24,244,1088,"F","C","F"
121,288,1089,"F","D","T"
65,258,1099,"F","C","T"
110,284,1107,"F","B","T"
157,310,1128,"F","B","T"
124,290,1095,"F","A","T"
164,311,1134,"F","B","T"
176,318,1172,"F","A","T"
43,244,1088,"F","D","F"
6,244,1088,"F","B","F"
97,279,1108,"F","C","T"
46,244,1088,"F","A","F"
59,244,1088,"F","D","F"
139,302,1112,"F","C","T"
63,257,1097,"F","A","T"
1,244,1088,"F","B","F"
34,244,1088,"F","C","F"
159,310,1127,"F","C","T"
73,262,1107,"F","A","T"
67,258,1094,"F","C","T"
9,244,1088,"F","A","F"
93,278,1110,"F","B","T"
105,284,1107,"F","A","T"
131,296,1108,"F","C","T"
127,292,1101,"F","B","T"
54,244,1088,"F","A","F"
140,303,1110,"F","B","T"
180,320,1177,"F","B","T"
104,284,1104,"F","B","T"
38,244,1088,"F","A","F"
61,256,1089,"F","B","T"
29,244,1088,"F","C","F"
17,244,1088,"F","B","F"
134,298,1112,"F","C","T"
0,244,1088,"F","B","F"
21,244,1088,"F","B","F"
145,306,1111,"F","A","T"
56,244,1088,"F","A","F"
74,263,1106,"F","D","T"
160,311,1128,"F","B","T"
78,265,1112,"F","C","T"
45,244,1088,"F","C","F"
81,268,1114,"F","D","T"
152,307,1125,"F","D","T"
92,277,1108,"F","B","T"
163,311,1136,"F","A","T"
103,283,1105,"F","B","T"
138,302,1112,"F","D","T"
4,244,1088,"F","D","F"
15,244,1088,"F","B","F"
39,244,1088,"F","D","F"
161,311,1133,"F","B","T"
168,314,1142,"F","B","T"
99,281,1107,"F","A","T"
8,244,1088,"F","D","F"
154,308,1124,"F","D","T"
82,269,1113,"F","B","T"
144,305,1112,"F","B","T"
95,278,1105,"F","D","T"
47,244,1088,"F","A","F"
106,284,1111,"F","C","T"
2,244,1088,"F","A","F"
3,244,1088,"F","C","F"
181,321,1181,"F","D","T"
115,285,1102,"F","B","T"
150,306,1117,"F","B","T"
57,244,1088,"F","C","F"
102,283,1106,"F","C","T"
117,286,1095,"F","D","T"
169,314,1145,"F","D","T"
107,284,1113,"F","C","T"
179,319,1173,"F","B","T"
49,244,1088,"F","D","F"
155,308,1125,"F","A","T"
79,266,1117,"F","C","T"
113,285,1103,"F","C","T"
53,244,1088,"F","A","F"
68,259,1091,"F","A","T"
50,244,1088,"F","C","F"
89,274,1114,"F","D","T"
75,263,1107,"F","D","T"
37,244,1088,"F","D","F"
119,287,1088,"F","A","T"
62,257,1092,"F","D","T"
170,314,1146,"F","A","T"
151,307,1121,"F","D","T"
27,244,1088,"F","A","F"
55,244,1088,"F","A","F"
85,272,1116,"F","C","T"
165,312,1135,"F","B","T"
167,314,1137,"F","D","T"
11,244,1088,"F","D","F"
70,259,1095,"F","A","T"
153,308,1126,"F","B","T"
35,244,1088,"F","A","F"
23,244,1088,"F","D","F"
146,306,1113,"F","B","T"
26,244,1088,"F","D","F"
44,244,1088,"F","D","F"
42,244,1088,"F","C","F"
116,285,1098,"F","B","T"
41,244,1088,"F","B","F"
13,244,1088,"F","D","F"
171,314,1151,"F","C","T"
128,293,1105,"F","C","T"
100,282,1108,"F","D","T"
64,258,1096,"F","A","T"
58,244,1088,"F","A","F"
88,273,1116,"F","C","T"
149,306,1115,"F","A","T"
120,287,1091,"F","C","T"
12,244,1088,"F","C","F"
28,244,1088,"F","B","F"
25,244,1088,"F","C","F"
33,244,1088,"F","A","F"
143,304,1113,"F","A","T"
136,300,1115,"F","B","T"
31,244,1088,"F","B","F"
91,276,1110,"F","C","T"
175,317,1168,"F","B","T"
118,286,1091,"F","C","T"
137,301,1116,"F","B","T"
16,244,1088,"F","C","F"
14,244,1088,"F","B","F"
60,244,1088,"F","B","F"
83,270,1117,"F","D","T"
135,299,1114,"F","B","T"
77,264,1114,"F","C","T"
156,309,1129,"F","C","T"
174,316,1163,"F","B","T"
133,298,1115,"F","B","T"
87,273,1118,"F","D","T"
86,273,1115,"F","D","T"
112,285,1106,"F","A","T"
141,304,1112,"F","A","T"
30,244,1088,"F","B","F"
126,292,1097,"F","A","T"
109,284,1108,"F","C","T"
48,244,1088,"F","C","F"
123,289,1090,"F","D","T"
90,275,1114,"F","B","T"
182,321,1182,"F","C","T"
172,315,1156,"F","C","T"
158,310,1126,"F","C","T"
74,277,996,"F","C","T"
49,253,971,"F","C","F"
84,284,996,"F","D","T"
145,319,1054,"F","C","T"
77,279,992,"F","C","T"
157,322,1063,"F","D","T"
136,313,1030,"F","A","T"
110,300,1012,"F","D","T"
108,299,1014,"F","B","T"
86,286,997,"F","D","T"
25,253,971,"F","A","F"
9,253,971,"F","D","F"
115,301,1015,"F","A","T"
62,269,991,"F","A","T"
53,253,971,"F","C","F"
92,289,1001,"F","D","T"
55,253,971,"F","D","F"
1,253,971,"F","B","F"
128,307,1028,"F","A","T"
8,253,971,"F","C","F"
15,253,971,"F","D","F"
116,301,1016,"F","C","T"
123,306,1018,"F","B","T"
138,314,1035,"F","D","T"
82,283,997,"F","D","T"
99,294,1002,"F","A","T"
146,320,1058,"F","D","T"
45,253,971,"F","B","F"
61,269,988,"F","B","T"
107,298,1014,"F","C","T"
46,253,971,"F","A","F"
43,253,971,"F","B","F"
141,316,1044,"F","A","T"
160,323,1069,"F","D","T"
50,253,971,"F","B","F"
11,253,971,"F","C","F"
27,253,971,"F","B","F"
37,253,971,"F","C","F"
71,274,994,"F","B","T"
41,253,971,"F","C","F"
105,297,1009,"F","A","T"
152,321,1063,"F","C","T"
90,288,999,"F","B","T"
158,322,1060,"F","C","T"
101,295,1008,"F","D","T"
6,253,971,"T","D","F"
85,285,999,"F","B","T"
144,318,1050,"F","C","T"
40,253,971,"F","A","F"
64,269,990,"F","A","T"
153,321,1059,"F","D","T"
17,253,971,"F","A","F"
2,253,971,"F","D","F"
155,322,1061,"F","C","T"
118,303,1017,"F","A","T"
130,308,1023,"F","B","T"
151,321,1062,"F","C","T"
57,268,994,"F","A","T"
127,307,1027,"F","A","T"
95,292,1005,"F","D","T"
5,253,971,"F","A","F"
100,295,1004,"F","C","T"
119,304,1022,"F","A","T"
21,253,971,"F","D","F"
126,307,1026,"F","D","T"
117,302,1021,"F","D","T"
0,253,971,"F","B","F"
42,253,971,"F","B","F"
52,253,971,"F","A","F"
156,322,1062,"F","D","T"
76,278,993,"F","B","T"
139,315,1035,"F","B","T"
66,271,983,"F","D","T"
70,274,989,"F","A","T"
150,321,1066,"F","A","T"
10,253,971,"F","D","F"
26,253,971,"F","B","F"
22,253,971,"F","A","F"
103,296,1016,"F","C","T"
143,317,1045,"F","B","T"
65,270,986,"F","D","T"
147,320,1055,"F","B","T"
60,269,989,"F","B","T"
132,310,1028,"F","B","T"
4,253,971,"T","D","F"
30,253,971,"F","B","F"
93,290,1002,"F","D","T"
38,253,971,"F","A","F"
28,253,971,"F","B","F"
56,268,989,"F","C","T"
67,272,986,"F","B","T"
14,253,971,"F","C","F"
3,253,971,"F","A","F"
104,296,1013,"F","B","T"
91,288,1000,"F","C","T"
114,301,1019,"F","B","T"
125,307,1022,"F","B","T"
16,253,971,"F","C","F"
129,308,1027,"F","A","T"
58,268,995,"F","D","T"
31,253,971,"F","A","F"
154,322,1058,"F","C","T"
149,321,1063,"F","B","T"
94,291,1000,"F","D","T"
142,317,1048,"F","A","T"
47,253,971,"F","D","F"
98,294,1003,"F","D","T"
34,253,971,"T","B","F"
121,304,1021,"F","B","T"
59,269,992,"F","A","T"
24,253,971,"F","D","F"
134,312,1030,"F","A","T"
131,309,1023,"F","D","T"
120,304,1020,"F","A","T"
135,312,1026,"F","C","T"
35,253,971,"F","A","F"
87,286,1002,"F","D","T"
122,305,1022,"F","B","T"
48,253,971,"F","B","F"
124,306,1021,"F","C","T"
89,288,1001,"F","C","T"
102,296,1012,"F","B","T"
96,293,1005,"F","A","T"
148,321,1058,"F","A","T"
83,284,999,"F","C","T"
97,293,1004,"F","C","T"
112,300,1015,"F","C","T"
111,300,1017,"F","B","T"
73,276,995,"F","C","T"
7,253,971,"F","C","F"
113,301,1017,"F","D","T"
23,253,971,"F","C","F"
51,253,971,"F","B","F"
63,269,989,"F","C","T"
88,287,1002,"F","B","T"
106,297,1014,"F","A","T"
44,253,971,"F","D","F"
39,253,971,"F","A","F"
79,280,997,"F","C","T"
68,272,986,"F","D","T"
29,253,971,"F","C","F"
78,280,995,"F","C","T"
81,282,999,"F","A","T"
75,277,996,"F","C","T"
140,316,1039,"F","A","T"
69,273,986,"F","A","T"
20,253,971,"F","B","F"
54,253,971,"F","D","F"
19,253,971,"T","D","F"
133,311,1029,"F","C","T"
109,300,1011,"F","B","T"
36,253,971,"F","D","F"
32,253,971,"F","A","F"
137,313,1033,"F","B","T"
72,275,997,"F","B","T"
12,253,971,"F","D","F"
13,253,971,"F","C","F"
33,253,971,"F","C","F"
18,253,971,"T","C","F"
80,281,999,"F","D","T"
159,322,1064,"F","D","T"
47,248,658,"F","D","T"
54,248,1043,"F","C","T"
60,248,1032,"F","D","T"
84,248,985,"F","C","T"
57,248,1034,"F","D","T"
72,248,1001,"F","D","T"
18,248,1084,"F","B","F"
83,248,986,"F","A","T"
70,248,1006,"F","A","T"
63,248,1024,"F","C","T"
20,248,1084,"F","C","F"
5,248,1084,"F","B","F"
79,248,988,"F","D","T"
66,248,1016,"F","B","T"
74,248,996,"F","A","T"
6,248,1084,"F","B","F"
82,248,987,"F","C","T"
50,248,1049,"F","B","T"
35,248,659,"F","C","T"
13,248,1084,"F","C","F"
55,248,1039,"F","D","T"
37,248,660,"F","C","T"
12,248,1084,"F","A","F"
40,248,659,"F","A","T"
39,248,659,"F","C","T"
17,248,1084,"F","A","F"
14,248,1084,"F","D","F"
69,248,1010,"F","C","T"
46,248,659,"F","C","T"
16,248,1084,"F","D","F"
88,248,976,"F","B","T"
31,248,1084,"F","A","F"
23,248,1084,"F","A","F"
81,248,988,"F","C","T"
36,248,660,"F","D","T"
21,248,1084,"F","A","F"
19,248,1084,"F","A","F"
41,248,659,"F","B","T"
65,248,1020,"F","A","T"
32,248,1052,"F","D","T"
48,248,660,"F","B","T"
11,248,1084,"F","B","F"
43,248,661,"F","B","T"
73,248,997,"F","B","T"
0,248,1084,"F","C","F"
49,248,660,"F","B","T"
85,248,983,"F","D","T"
61,248,1029,"F","D","T"
86,248,983,"F","C","T"
3,248,1084,"F","A","F"
26,248,1084,"F","D","F"
1,248,1084,"F","D","F"
53,248,1045,"F","D","T"
28,248,1084,"F","B","F"
30,248,1084,"F","A","F"
71,248,1005,"F","A","T"
29,248,1084,"F","C","F"
34,248,660,"F","A","T"
64,248,1020,"F","A","T"
9,248,1084,"F","B","F"
15,248,1084,"F","B","F"
56,248,1037,"F","C","T"
59,248,1033,"F","A","T"
25,248,1084,"F","C","F"
45,248,660,"F","B","T"
22,248,1084,"F","D","F"
42,248,661,"F","B","T"
4,248,1084,"F","D","F"
78,248,988,"F","D","T"
52,248,1046,"F","C","T"
62,248,1025,"F","A","T"
51,248,1047,"F","A","T"
87,248,980,"F","B","T"
10,248,1084,"F","C","F"
67,248,1014,"F","B","T"
2,248,1084,"F","D","F"
38,248,659,"F","A","T"
44,248,659,"F","A","T"
8,248,1084,"F","C","F"
68,248,1013,"F","B","T"
27,248,1084,"F","D","F"
33,248,660,"F","A","T"
7,248,1084,"F","D","F"
24,248,1084,"F","B","F"
58,248,1033,"F","D","T"
76,248,993,"F","A","T"
80,248,988,"F","A","T"
75,248,993,"F","A","T"
77,248,991,"F","B","T"
139,251,761,"F","B","T"
99,251,842,"F","C","T"
178,251,699,"F","D","T"
29,251,965,"F","D","F"
181,251,693,"F","C","T"
7,251,965,"F","D","F"
158,251,727,"F","B","T"
192,251,668,"F","C","T"
136,251,771,"F","D","T"
19,251,965,"F","C","F"
184,251,684,"F","B","T"
110,251,818,"F","D","T"
81,251,880,"F","A","T"
20,251,965,"F","A","F"
186,251,678,"F","B","T"
