ID,年齢,性別,キャンペーン反応
124,"25歳以上","女","T"
125,"25歳以上","女","F"
126,"25歳以上","男","F"
127,"25歳以下","女","T"
128,"25歳以上","女","T"
129,"25歳以上","男","F"
130,"25歳以下","男","F"
131,"25歳以下","男","F"
132,"25歳以上","女","F"
133,"25歳以上","女","F"
134,"25歳以下","女","T"
135,"25歳以下","男","F"
136,"25歳以下","男","F"
137,"25歳以下","女","T"
138,"25歳以下","男","T"
139,"25歳以下","女","T"
140,"25歳以下","女","T"
141,"25歳以上","女","F"
142,"25歳以下","女","F"
143,"25歳以上","男","F"
144,"25歳以上","男","F"
145,"25歳以下","女","T"
146,"25歳以下","男","F"
147,"25歳以上","男","F"
148,"25歳以上","男","F"
149,"25歳以下","女","T"
150,"25歳以上","女","T"
151,"25歳以下","女","T"
152,"25歳以上","男","F"
153,"25歳以下","男","F"
154,"25歳以下","女","T"
155,"25歳以下","男","F"
156,"25歳以下","男","F"
157,"25歳以上","女","F"
158,"25歳以上","男","F"
159,"25歳以上","女","T"
160,"25歳以上","男","F"
161,"25歳以下","男","F"
162,"25歳以下","女","T"
163,"25歳以下","男","F"
164,"25歳以上","女","T"
165,"25歳以下","女","T"
166,"25歳以下","男","F"
167,"25歳以下","男","F"
168,"25歳以上","女","F"
169,"25歳以上","女","F"
170,"25歳以上","男","F"
171,"25歳以下","女","T"
172,"25歳以上","女","T"
173,"25歳以上","男","F"
174,"25歳以上","男","T"
175,"25歳以上","女","F"
176,"25歳以上","女","F"
177,"25歳以下","女","T"
178,"25歳以下","男","F"
179,"25歳以下","女","T"
180,"25歳以下","男","F"
181,"25歳以上","女","F"
182,"25歳以下","女","T"
183,"25歳以下","男","F"
184,"25歳以上","女","T"
185,"25歳以上","女","F"
186,"25歳以上","女","T"
187,"25歳以上","男","F"
188,"25歳以上","男","F"
189,"25歳以下","女","T"
190,"25歳以上","女","T"
191,"25歳以下","男","F"
192,"25歳以上","男","F"
193,"25歳以下","女","T"
194,"25歳以下","男","F"
195,"25歳以下","男","F"
196,"25歳以下","女","T"
197,"25歳以上","男","F"
198,"25歳以下","男","F"
199,"25歳以下","女","T"
200,"25歳以上","女","F"
201,"25歳以下","男","F"
202,"25歳以上","女","F"
203,"25歳以下","男","F"
204,"25歳以下","男","F"
205,"25歳以上","女","T"
206,"25歳以上","男","F"
207,"25歳以下","男","F"
208,"25歳以下","女","T"
209,"25歳以上","男","F"
210,"25歳以下","男","F"
211,"25歳以下","男","F"
212,"25歳以下","男","F"
213,"25歳以下","男","F"
214,"25歳以上","女","T"
215,"25歳以上","男","F"
216,"25歳以下","男","F"
217,"25歳以上","男","F"
218,"25歳以下","男","F"
219,"25歳以上","男","F"
220,"25歳以下","女","F"
221,"25歳以上","女","T"
222,"25歳以下","男","F"
223,"25歳以下","女","T"
224,"25歳以下","女","T"
225,"25歳以下","男","F"
226,"25歳以下","男","F"
227,"25歳以上","女","F"
228,"25歳以下","女","T"
229,"25歳以上","女","F"
230,"25歳以上","男","T"
231,"25歳以上","女","T"
232,"25歳以上","男","F"
233,"25歳以下","男","F"
234,"25歳以下","男","F"
235,"25歳以下","男","F"
236,"25歳以下","女","T"
237,"25歳以下","男","F"
238,"25歳以下","男","F"
239,"25歳以下","女","T"
240,"25歳以下","男","F"
241,"25歳以下","男","F"
242,"25歳以上","男","F"
243,"25歳以上","男","F"
244,"25歳以上","女","F"
245,"25歳以上","女","F"
246,"25歳以上","女","F"
247,"25歳以上","女","T"
248,"25歳以下","女","T"
249,"25歳以上","女","F"
250,"25歳以下","女","T"
251,"25歳以上","女","T"
252,"25歳以下","男","F"
253,"25歳以下","男","F"
254,"25歳以下","男","F"
255,"25歳以上","男","F"
256,"25歳以上","女","F"
257,"25歳以上","女","F"
258,"25歳以下","女","T"
259,"25歳以下","女","T"
260,"25歳以下","男","F"
261,"25歳以下","女","T"
262,"25歳以下","女","T"
263,"25歳以上","男","F"
264,"25歳以上","男","F"
265,"25歳以上","男","T"
266,"25歳以上","女","F"
267,"25歳以上","女","F"
268,"25歳以上","女","F"
269,"25歳以上","男","F"
270,"25歳以下","女","T"
271,"25歳以下","男","F"
272,"25歳以下","男","F"
273,"25歳以下","女","T"
274,"25歳以上","男","F"
275,"25歳以下","男","F"
276,"25歳以下","男","F"
277,"25歳以上","男","F"
278,"25歳以下","男","F"
279,"25歳以下","男","T"
280,"25歳以下","男","F"
281,"25歳以下","男","F"
282,"25歳以下","女","T"
283,"25歳以上","男","F"
284,"25歳以上","女","F"
285,"25歳以上","女","F"
286,"25歳以上","男","F"
287,"25歳以下","男","F"
288,"25歳以上","男","F"
289,"25歳以上","女","T"
290,"25歳以下","女","T"
291,"25歳以上","男","F"
292,"25歳以下","女","T"
293,"25歳以下","男","F"
294,"25歳以下","女","T"
295,"25歳以上","女","F"
296,"25歳以上","男","F"
297,"25歳以上","女","F"
298,"25歳以下","女","T"
299,"25歳以下","男","F"
300,"25歳以下","男","F"
301,"25歳以下","男","F"
302,"25歳以上","女","F"
303,"25歳以下","男","F"
304,"25歳以上","女","T"
305,"25歳以下","男","F"
306,"25歳以下","女","T"
307,"25歳以下","男","T"
308,"25歳以下","女","T"
309,"25歳以下","女","T"
310,"25歳以下","男","F"
311,"25歳以下","男","F"
312,"25歳以下","女","T"
313,"25歳以上","男","F"
314,"25歳以下","男","F"
315,"25歳以上","男","F"
316,"25歳以下","女","T"
317,"25歳以下","女","T"
318,"25歳以上","男","F"
319,"25歳以下","女","T"
320,"25歳以上","女","T"
321,"25歳以上","女","F"
322,"25歳以上","男","T"
323,"25歳以下","男","F"
324,"25歳以下","女","T"
325,"25歳以下","男","F"
326,"25歳以上","女","T"
327,"25歳以上","男","F"
328,"25歳以上","女","F"
329,"25歳以上","男","F"
330,"25歳以下","男","F"
331,"25歳以上","女","F"
332,"25歳以上","女","T"
333,"25歳以下","女","T"
334,"25歳以上","女","F"
335,"25歳以下","男","F"
336,"25歳以下","男","F"
337,"25歳以上","女","T"
338,"25歳以下","男","F"
339,"25歳以下","男","F"
340,"25歳以上","男","F"
341,"25歳以下","男","F"
342,"25歳以下","男","F"
343,"25歳以下","男","F"
344,"25歳以下","女","T"
345,"25歳以上","男","F"
346,"25歳以下","女","T"
347,"25歳以上","男","F"
348,"25歳以下","男","F"
349,"25歳以下","女","T"
350,"25歳以下","女","T"
351,"25歳以下","男","T"
352,"25歳以上","女","F"
353,"25歳以下","男","F"
354,"25歳以上","男","F"
355,"25歳以上","男","F"
356,"25歳以上","男","F"
357,"25歳以下","男","F"
358,"25歳以下","男","F"
359,"25歳以上","女","F"
360,"25歳以下","女","T"
361,"25歳以上","男","F"
362,"25歳以下","女","T"
363,"25歳以下","女","T"
364,"25歳以上","男","F"
365,"25歳以下","男","F"
366,"25歳以上","女","T"
367,"25歳以下","女","T"
368,"25歳以上","女","T"
369,"25歳以上","男","F"
370,"25歳以上","男","F"
371,"25歳以下","男","F"
372,"25歳以上","女","F"
373,"25歳以下","女","T"
374,"25歳以下","女","T"
375,"25歳以上","女","F"
376,"25歳以下","男","F"
377,"25歳以上","女","T"
378,"25歳以上","女","T"
379,"25歳以下","男","F"
380,"25歳以下","女","T"
381,"25歳以上","男","T"
382,"25歳以上","男","F"
383,"25歳以上","女","T"
384,"25歳以上","女","F"
385,"25歳以下","女","T"
386,"25歳以上","女","F"
387,"25歳以上","女","T"
388,"25歳以下","女","T"
389,"25歳以下","女","T"
390,"25歳以上","女","F"
391,"25歳以下","女","T"
392,"25歳以下","男","F"
393,"25歳以上","男","F"
394,"25歳以下","男","F"
395,"25歳以上","男","F"
396,"25歳以上","女","T"
397,"25歳以下","女","T"
398,"25歳以下","女","T"
399,"25歳以上","男","F"
400,"25歳以下","女","T"
