CUSTID,DATE,AMOUNT,NUMPURCHASE
103940,2019-09-01,31050,2
103090,2019-05-26,8780,3
102931,2019-02-01,28138,4
102126,2019-09-01,4561,3
100409,2019-04-19,18020,7
100623,2019-06-23,7472,3
105331,2019-02-05,21586,6
102523,2019-08-11,6065,3
101324,2019-12-11,13183,2
102979,2019-03-10,26824,5
101626,2019-04-09,26136,5
105553,2019-03-24,8833,3
105556,2019-10-14,49096,2
100568,2019-08-26,10088,2
100939,2019-06-12,7528,3
105431,2019-12-31,37260,1
101517,2019-12-29,4770,1
102826,2019-05-29,11592,1
100171,2019-01-25,7762,2
103214,2019-10-06,3766,3
105319,2019-03-25,1580,1
103724,2019-10-01,11800,1
102208,2019-10-11,3980,1
100685,2019-03-18,6055,3
104087,2019-11-26,1720,1
105796,2019-07-05,4606,1
103564,2019-07-07,3580,1
104697,2019-08-13,4366,3
101306,2019-09-25,2658,1
100735,2019-05-02,16560,1
102636,2019-02-25,8574,3
102643,2019-09-15,45000,1
104843,2019-12-12,17768,5
102552,2019-04-23,3280,1
100881,2019-09-01,5940,1
105939,2019-03-30,3392,2
100416,2019-07-04,17614,6
101687,2019-06-26,6570,2
104227,2019-01-22,12578,3
102433,2019-06-21,10980,1
105231,2019-06-30,30659,3
100973,2019-08-29,3591,2
101517,2019-02-02,11800,1
101168,2019-12-17,2480,1
101565,2019-11-27,3040,1
103408,2019-02-06,5800,1
100600,2019-08-12,8340,4
104263,2019-09-27,5932,2
104963,2019-08-25,32570,5
104006,2019-03-12,8515,2
101547,2019-02-11,3980,1
104753,2019-02-05,15920,2
101095,2019-05-04,7760,1
105211,2019-10-16,20033,2
101539,2019-04-09,3000,1
101890,2019-10-14,5250,1
105749,2019-09-11,2930,1
103037,2019-11-27,3120,2
103141,2019-10-23,7447,2
105658,2019-06-28,2595,1
104634,2019-01-19,10746,2
101105,2019-02-26,5020,2
104525,2019-09-04,2438,2
105000,2019-02-09,3520,1
103332,2019-01-05,16172,5
100767,2019-04-20,4000,1
103303,2019-02-06,9380,4
104403,2019-04-12,5700,1
102672,2019-10-22,14360,1
102393,2019-11-04,11501,5
102845,2019-04-09,6080,2
105322,2019-02-05,10700,2
103754,2019-01-23,30148,2
105893,2019-05-27,6970,1
100904,2019-03-27,13500,1
105520,2019-12-31,4766,2
100405,2019-06-25,15600,1
104745,2019-01-13,8895,3
104120,2019-10-06,9406,1
102599,2019-03-09,7120,1
102744,2019-05-29,14953,4
100644,2019-03-24,30250,3
102801,2019-11-27,1560,1
103595,2019-05-19,8940,1
105755,2019-07-15,1995,1
102091,2019-01-15,5884,2
101892,2019-09-30,3560,1
101827,2019-03-20,9000,1
105093,2019-05-25,6800,2
101719,2019-05-06,12070,2
103684,2019-03-05,1194,1
101225,2019-02-04,1136,1
105584,2019-04-25,3396,1
104434,2019-06-29,17350,2
100261,2019-05-11,5800,1
100892,2019-02-17,20751,3
104672,2019-12-09,5250,1
100780,2019-11-05,6848,2
104780,2019-10-20,3100,1
103916,2019-08-24,11420,2
101598,2019-07-08,6150,2
101751,2019-02-19,2951,2
105214,2019-08-28,19080,2
103699,2019-10-24,24379,3
102691,2019-03-22,8670,4
102695,2019-10-12,11280,2
104950,2019-11-01,4879,2
105128,2019-05-13,3980,1
105160,2019-12-03,4400,1
101282,2019-02-18,3960,1
104545,2019-07-16,40060,9
102928,2019-07-13,10780,1
100622,2019-12-03,5170,2
104942,2019-02-19,11954,1
102021,2019-03-09,3180,1
103828,2019-11-29,6638,2
102417,2019-09-16,9039,4
100067,2019-10-14,4500,1
105382,2019-11-26,10200,1
104473,2019-12-30,5103,2
102317,2019-11-17,4231,2
103413,2019-03-03,3430,1
102845,2019-09-01,15989,4
104160,2019-08-18,6880,2
102279,2019-04-14,15861,4
102288,2019-11-04,6920,2
104213,2019-12-27,7149,3
100135,2019-02-18,4189,2
105780,2019-12-17,26858,4
103598,2019-08-27,10335,2
103559,2019-05-29,7190,1
100733,2019-03-24,3520,2
102039,2019-01-30,6580,3
105246,2019-08-14,5340,1
104556,2019-10-01,75345,6
102685,2019-09-21,3960,1
104631,2019-04-14,7808,2
101276,2019-07-01,3440,2
101929,2019-06-04,3880,1
100568,2019-10-01,3400,1
102117,2019-05-16,5225,1
100303,2019-01-02,8452,2
104379,2019-07-07,2494,2
104170,2019-02-15,15556,4
101516,2019-07-14,7000,2
104325,2019-11-06,3740,1
102412,2019-07-02,5455,3
104258,2019-02-15,9053,1
103199,2019-04-23,3960,1
103360,2019-07-23,12960,1
102511,2019-11-06,4340,2
101601,2019-05-20,8700,1
105111,2019-11-24,9000,2
101403,2019-09-02,2540,2
101794,2019-09-14,8900,1
104299,2019-03-20,8122,5
104804,2019-11-26,4530,2
102041,2019-04-15,4050,1
103488,2019-02-06,7760,1
105798,2019-05-20,52200,1
100484,2019-10-30,8724,2
103233,2019-09-03,25485,6
102951,2019-05-25,31500,1
104936,2019-06-19,3250,2
105043,2019-08-25,18535,4
100624,2019-03-25,4400,1
105287,2019-12-24,1000,1
104833,2019-02-05,11557,2
103436,2019-10-02,7440,2
104032,2019-12-05,11324,3
104389,2019-03-02,11986,4
103229,2019-08-25,12500,2
103472,2019-06-02,3384,1
101970,2019-10-14,14070,2
105027,2019-12-21,15740,2
100845,2019-05-12,3003,1
100855,2019-02-22,7950,1
105274,2019-07-22,3550,2
103730,2019-07-03,6730,3
103408,2019-03-13,6591,3
105965,2019-01-28,1032,1
101547,2019-03-18,3000,1
103660,2019-09-01,28360,4
104087,2019-02-06,11645,4
104097,2019-08-28,2880,1
104753,2019-03-12,4200,1
103250,2019-01-02,7980,1
105407,2019-09-05,5320,2
103084,2019-11-04,3450,1
100037,2019-09-28,2460,1
104595,2019-01-01,28000,1
100285,2019-11-19,10092,5
105600,2019-12-31,3560,1
105100,2019-09-07,24840,5
104890,2019-02-19,2500,1
102082,2019-08-25,2870,2
101582,2019-05-01,9814,3
100626,2019-06-10,5550,1
102437,2019-03-23,8327,3
105839,2019-09-30,2300,1
103729,2019-01-22,4308,2
100361,2019-06-04,12450,2
104410,2019-12-09,15084,3
100819,2019-10-04,4480,1
103372,2019-10-27,2594,2
100891,2019-07-29,29780,2
100554,2019-05-19,5350,1
104745,2019-02-20,95628,4
101502,2019-06-08,6360,1
103300,2019-10-04,13275,5
101844,2019-07-21,5800,1
102083,2019-02-17,7093,2
105400,2019-06-30,6980,1
105203,2019-02-26,5790,2
101242,2019-06-05,4662,1
103516,2019-08-24,4472,2
101943,2019-11-25,1800,1
101264,2019-11-10,57455,5
105667,2019-03-30,21000,1
105195,2019-04-24,2875,2
100883,2019-01-30,8379,1
103936,2019-01-19,5020,2
102672,2019-01-02,9600,1
103356,2019-10-12,3168,1
104680,2019-11-18,4569,1
100555,2019-01-14,4620,2
103285,2019-05-20,7196,1
100709,2019-03-15,3880,1
102840,2019-07-23,15640,1
101005,2019-11-23,11330,4
101354,2019-04-16,4330,1
103613,2019-09-11,13814,3
102849,2019-08-24,3680,1
102592,2019-02-09,2475,2
105264,2019-11-12,3700,2
105759,2019-04-17,9600,1
102119,2019-11-24,17800,1
102794,2019-10-27,6063,1
101265,2019-07-05,10333,5
101081,2019-01-29,23280,8
104009,2019-02-06,4520,3
103392,2019-12-01,2250,1
104091,2019-04-09,9670,2
104017,2019-08-28,11049,2
100475,2019-09-08,3880,1
102333,2019-08-28,3740,2
105629,2019-08-13,7385,3
105390,2019-11-03,3373,2
104942,2019-03-26,25270,1
105552,2019-10-11,8764,4
103394,2019-06-07,16368,1
103421,2019-02-12,3150,1
100766,2019-03-29,21000,1
100929,2019-06-09,10440,3
101501,2019-06-04,2430,2
102915,2019-08-10,52785,1
105436,2019-05-19,9027,3
102667,2019-12-07,42170,5
105278,2019-01-29,5260,2
103413,2019-04-10,55300,1
102867,2019-07-13,35580,5
100759,2019-12-17,3960,1
102845,2019-10-08,20060,2
103465,2019-08-19,2900,2
102279,2019-05-21,11374,3
105893,2019-11-26,9087,2
102103,2019-05-26,6230,3
103163,2019-12-01,4482,2
102501,2019-11-26,9060,1
100695,2019-09-28,3875,1
104203,2019-02-20,3228,1
102697,2019-07-14,3600,1
105104,2019-03-14,3340,2
101273,2019-09-22,6272,3
102039,2019-03-05,5280,1
105851,2019-02-07,10422,2
102999,2019-02-17,7560,2
104018,2019-04-23,3980,2
100631,2019-07-07,3132,2
100487,2019-05-03,26420,2
101167,2019-04-30,25710,4
104444,2019-12-31,32000,1
103290,2019-03-14,3950,1
105055,2019-11-03,3110,2
102521,2019-04-20,9900,1
100426,2019-05-01,2288,1
105032,2019-02-23,18400,1
103892,2019-08-19,9000,1
104823,2019-02-25,5880,1
103522,2019-09-01,11735,3
100181,2019-10-29,3360,1
101062,2019-01-10,4680,2
103466,2019-04-14,4960,2
105396,2019-07-26,10370,2
103211,2019-11-11,4852,2
105910,2019-07-21,4490,1
101451,2019-02-18,10068,3
102798,2019-08-01,3977,2
100602,2019-06-01,6900,1
104779,2019-09-29,10882,2
104555,2019-04-20,3824,3
101306,2019-12-07,9600,2
104397,2019-02-09,4050,1
104029,2019-07-08,6400,1
100501,2019-07-20,8960,3
105068,2019-06-30,19080,1
102187,2019-09-21,15124,2
101883,2019-03-11,19890,3
101930,2019-03-06,2173,2
104977,2019-08-28,25061,2
104180,2019-04-09,5700,1
101687,2019-09-08,6650,1
103436,2019-11-09,3700,1
105035,2019-11-30,2536,2
101073,2019-08-19,2876,2
104476,2019-12-17,2500,1
103975,2019-02-03,10965,7
100184,2019-06-24,5460,1
105423,2019-06-16,3600,1
103921,2019-10-28,3330,2
104194,2019-01-15,8028,2
104797,2019-12-14,22518,7
101427,2019-06-04,8000,1
101701,2019-06-26,12185,4
102051,2019-06-09,7190,1
103084,2019-12-11,40231,6
104804,2019-02-06,3070,1
102665,2019-07-24,7846,1
104246,2019-09-15,16180,2
100135,2019-08-17,1235,1
100228,2019-01-17,8610,2
102999,2019-07-09,4580,2
101699,2019-11-25,11500,1
101177,2019-08-28,5749,2
104032,2019-02-17,9250,2
100118,2019-05-23,5700,2
100978,2019-07-06,2380,1
104293,2019-08-24,6980,1
102663,2019-08-12,153540,1
104622,2019-05-21,2700,1
102163,2019-04-20,13200,1
100311,2019-09-17,5880,1
102809,2019-12-11,4160,1
105323,2019-01-14,5302,1
102217,2019-01-26,5840,1
100200,2019-07-01,6730,2
103084,2019-01-16,9690,3
101844,2019-08-28,6740,2
105755,2019-09-29,1314,1
104145,2019-07-18,3147,2
102284,2019-07-23,3414,2
101719,2019-07-20,3610,3
100382,2019-03-06,3942,2
103732,2019-12-04,4874,1
102951,2019-11-24,35200,1
104848,2019-10-26,9456,4
105358,2019-03-31,32545,11
100095,2019-07-12,84950,2
100646,2019-08-23,38359,2
103805,2019-08-22,3914,2
100996,2019-08-06,13254,4
102956,2019-12-05,5670,1
105762,2019-12-14,2920,2
105859,2019-12-11,4090,1
105102,2019-02-04,2727,2
100138,2019-06-29,15700,4
103797,2019-10-20,21840,1
101937,2019-08-07,3486,1
104544,2019-09-13,2000,1
100582,2019-06-02,8800,1
104009,2019-03-13,16464,6
100464,2019-03-25,8580,2
100223,2019-01-27,11930,5
102030,2019-10-15,3300,1
105935,2019-02-17,35760,1
103476,2019-01-16,15517,4
104942,2019-05-01,16588,4
104027,2019-02-27,3680,1
104028,2019-09-17,6330,3
102437,2019-09-22,41000,1
102910,2019-02-27,4854,1
103473,2019-07-28,5250,1
100711,2019-07-07,9240,1
101762,2019-12-10,4660,1
103193,2019-04-20,6800,1
105620,2019-04-17,8379,1
103198,2019-11-10,5248,3
103687,2019-04-15,3250,1
103157,2019-06-18,14740,2
100719,2019-02-14,3280,1
104725,2019-01-29,11990,2
105407,2019-04-09,2100,1
100587,2019-11-02,3880,1
100537,2019-08-24,17800,1
103595,2019-12-25,10133,3
105246,2019-10-28,5250,1
102287,2019-06-03,6152,3
104140,2019-07-28,10272,2
101798,2019-12-22,11732,4
105641,2019-12-05,5088,2
103511,2019-08-01,3508,2
103964,2019-07-28,22370,2
101976,2019-08-13,2000,1
105135,2019-08-12,16073,3
102958,2019-03-14,4703,1
102130,2019-10-14,11400,1
105032,2019-03-30,6385,1
102317,2019-03-04,3750,2
100162,2019-08-13,6405,3
105025,2019-12-18,7231,7
104258,2019-04-29,29556,2
102262,2019-05-07,3180,1
100106,2019-03-26,5570,1
102369,2019-07-13,4240,1
104268,2019-02-11,14238,2
100853,2019-02-19,1992,1
100892,2019-09-23,13258,1
103467,2019-12-11,7136,2
100402,2019-12-02,3850,2
101405,2019-10-20,7617,2
102711,2019-08-26,8500,1
103258,2019-12-13,5935,3
104914,2019-10-02,15397,2
103168,2019-09-03,5120,1
105357,2019-02-17,14100,3
103705,2019-02-20,2770,1
104120,2019-06-17,3000,1
103799,2019-02-10,4050,1
101293,2019-06-24,54064,4
101691,2019-07-14,9450,1
100494,2019-02-05,4110,2
105641,2019-01-10,7391,2
102530,2019-01-22,3100,1
101534,2019-11-25,2992,1
101277,2019-05-10,9800,1
105137,2019-10-29,3870,1
100342,2019-12-23,15810,4
102473,2019-07-22,3582,1
101606,2019-03-15,26083,4
103571,2019-12-20,9200,1
100762,2019-12-04,4500,1
103921,2019-12-03,12280,2
102869,2019-09-27,4074,2
104924,2019-10-21,10080,1
104318,2019-11-13,12300,1
103562,2019-07-28,3890,2
103366,2019-10-14,5076,1
105916,2019-11-13,3046,2
100800,2019-07-07,5760,2
100780,2019-07-16,5750,2
101350,2019-01-28,8907,1
100643,2019-11-18,5970,2
105188,2019-02-02,10360,2
102665,2019-08-31,3470,1
105100,2019-11-21,8930,1
100532,2019-09-02,7994,2
105847,2019-10-14,3380,1
101885,2019-07-03,28042,4
102235,2019-06-18,6880,2
102226,2019-01-26,3260,2
105035,2019-02-10,2390,1
105339,2019-08-20,21180,4
100361,2019-08-18,28325,3
102488,2019-03-29,15567,7
102928,2019-03-24,4400,1
102931,2019-10-14,9690,3
102371,2019-01-03,8400,1
104520,2019-09-04,4400,1
102372,2019-07-25,19563,2
105938,2019-07-08,5340,1
102658,2019-02-19,9500,1
102236,2019-09-23,7280,4
104665,2019-04-24,5372,4
105755,2019-11-04,2560,1
100137,2019-12-09,7997,5
101140,2019-10-27,3681,1
104845,2019-07-23,8585,2
105545,2019-06-21,7992,1
102736,2019-06-05,18278,5
103995,2019-08-25,8640,3
101084,2019-06-08,14400,1
104487,2019-10-06,4700,1
105598,2019-01-20,23168,5
101225,2019-05-25,3508,2
105691,2019-10-20,6102,2
101626,2019-01-27,17628,5
105379,2019-06-08,5760,1
104295,2019-05-26,9340,2
101768,2019-09-02,21080,3
101814,2019-02-07,14156,4
103756,2019-01-07,11940,5
104671,2019-09-08,127400,1
101456,2019-04-22,8385,2
103765,2019-01-14,7800,1
103679,2019-03-05,9540,1
102751,2019-05-13,2850,2
100054,2019-01-09,5955,2
100948,2019-02-28,7080,1
104957,2019-06-02,3876,1
105413,2019-01-01,25890,3
105307,2019-05-17,7560,1
105960,2019-04-20,6900,1
102112,2019-07-16,33366,4
102340,2019-02-22,11880,1
104017,2019-11-10,7735,2
104545,2019-11-05,23925,4
104595,2019-08-07,27450,2
101786,2019-07-23,3172,1
100268,2019-02-06,59508,9
103831,2019-06-20,6826,1
105684,2019-08-13,18794,5
100293,2019-08-28,53400,1
102376,2019-10-27,5424,3
105468,2019-05-25,8056,3
105974,2019-05-20,3600,1
102845,2019-12-22,11280,2
101612,2019-09-08,6360,1
102509,2019-12-10,4000,1
103909,2019-10-06,12074,2
100600,2019-05-30,5406,3
103050,2019-02-07,4860,3
105360,2019-05-21,10680,2
103751,2019-07-27,4940,1
100585,2019-05-19,15640,1
100587,2019-12-09,18420,5
102645,2019-04-27,4000,1
104395,2019-02-06,17045,6
101283,2019-02-02,6266,1
103243,2019-06-01,3730,1
101485,2019-10-20,1890,1
100529,2019-11-29,3800,1
103141,2019-08-09,3507,3
100575,2019-05-02,2280,1
104541,2019-06-05,8554,2
105667,2019-11-04,23760,1
104948,2019-02-03,20590,2
103807,2019-12-31,2905,1
100891,2019-04-08,3140,2
101008,2019-12-17,6915,4
104819,2019-04-29,4161,1
102664,2019-10-06,11920,2
102454,2019-03-18,3950,1
100750,2019-12-28,3875,1
101349,2019-07-08,8400,2
105768,2019-12-08,8500,1
100849,2019-03-16,92235,1
103677,2019-01-07,3370,3
103679,2019-07-29,9540,1
104120,2019-07-24,6818,1
101273,2019-01-09,4628,2
105551,2019-05-19,26200,2
105253,2019-10-13,4740,2
103444,2019-11-24,10896,4
101026,2019-02-17,7160,1
103626,2019-03-03,11160,3
101168,2019-08-24,5438,3
104942,2019-02-11,16948,5
104871,2019-04-09,7828,3
101511,2019-11-11,3200,1
102820,2019-04-11,8845,5
100784,2019-06-24,5160,1
104826,2019-12-29,5980,1
103965,2019-10-28,2600,1
100012,2019-08-27,9450,3
104160,2019-08-10,4050,1
102083,2019-08-12,9023,4
100238,2019-06-24,1494,1
100533,2019-10-20,18373,3
100788,2019-01-13,6308,4
102641,2019-03-06,4590,1
104251,2019-07-22,6481,4
100836,2019-07-30,8460,2
103559,2019-05-21,35726,5
101386,2019-02-19,13650,3
100733,2019-03-16,16599,6
105740,2019-07-17,17240,2
100281,2019-06-09,7751,3
100981,2019-05-07,7010,2
100366,2019-01-07,15900,1
101673,2019-06-03,3223,2
102326,2019-05-06,9984,3
104976,2019-11-18,2715,2
105682,2019-09-09,23448,4
102570,2019-09-05,4450,1
101516,2019-07-06,7780,2
103369,2019-12-07,7888,2
100171,2019-02-24,1722,1
103462,2019-05-07,13290,2
103159,2019-05-19,3980,1
105865,2019-01-21,12285,3
103720,2019-04-10,13756,4
100054,2019-04-22,6420,2
100685,2019-04-17,8000,4
104708,2019-10-22,4434,3
105244,2019-03-27,2800,1
105810,2019-03-24,9755,3
102700,2019-01-26,13258,4
102045,2019-10-19,20650,4
102636,2019-03-24,25252,7
100782,2019-05-28,3200,1
101179,2019-05-06,8500,1
103494,2019-10-04,6102,2
101077,2019-07-14,2560,2
103394,2019-12-02,3200,1
101037,2019-07-30,4737,2
104977,2019-07-13,17880,1
105230,2019-01-07,4740,3
100220,2019-12-27,2970,1
101419,2019-08-27,16554,1
105461,2019-02-16,4370,2
101261,2019-06-16,4154,1
100304,2019-01-03,4558,1
102802,2019-03-29,25770,4
103759,2019-09-10,22769,2
101944,2019-02-20,17400,3
105407,2019-08-29,12774,4
101945,2019-09-10,1760,1
103084,2019-10-28,24683,3
102146,2019-11-06,13509,4
100487,2019-10-30,15865,4
102665,2019-06-09,3126,1
101429,2019-09-14,10380,1
101475,2019-02-19,2000,1
105941,2019-07-14,5840,1
101110,2019-10-15,21000,1
100570,2019-01-15,8880,2
101224,2019-07-08,15500,1
102773,2019-02-23,3880,1
103823,2019-01-04,1920,1
104921,2019-05-06,16504,3
102672,2019-11-21,12201,5
105498,2019-11-23,9700,3
103022,2019-11-04,3880,2
102219,2019-07-24,6200,1
100204,2019-05-28,2746,2
100101,2019-01-14,19880,5
104120,2019-11-05,6160,4
100490,2019-02-22,14888,4
103743,2019-02-11,6814,5
102109,2019-08-31,5150,2
101892,2019-10-29,5046,2
105704,2019-10-12,5500,1
103418,2019-03-24,8100,2
105033,2019-12-15,3253,1
101422,2019-07-07,3960,1
102485,2019-12-22,3420,1
100382,2019-01-23,6552,2
101591,2019-01-13,10650,4
103872,2019-03-16,6200,1
102870,2019-11-20,3231,1
100914,2019-05-13,3980,1
105076,2019-03-30,18230,4
101500,2019-10-01,3013,2
102361,2019-03-04,41800,1
103365,2019-08-12,5916,2
102306,2019-05-07,5390,1
104780,2019-11-19,2940,1
102003,2019-05-19,9844,1
103916,2019-09-23,3080,2
104057,2019-09-08,6360,1
104257,2019-04-14,5090,3
101306,2019-07-07,2470,1
102757,2019-09-13,3020,1
103600,2019-02-13,12600,1
101893,2019-09-25,4900,1
105759,2019-04-09,27950,2
103596,2019-07-09,2030,1
100416,2019-04-18,24998,5
102085,2019-06-29,3320,1
105945,2019-12-16,1740,1
101163,2019-08-27,5298,1
102485,2019-01-27,19470,2
102426,2019-01-20,3088,2
103337,2019-08-07,3200,1
100716,2019-12-24,9600,1
104335,2019-05-21,6500,1
102666,2019-05-09,8191,2
105436,2019-05-11,10722,3
105916,2019-05-06,4200,1
101958,2019-08-09,11774,2
100759,2019-12-09,4320,3
103349,2019-01-13,11100,2
105356,2019-05-07,3180,1
104066,2019-04-25,13215,6
100511,2019-05-05,16200,2
103053,2019-07-01,1140,1
104041,2019-02-09,2000,1
105899,2019-08-16,2193,1
101171,2019-11-12,5050,2
102334,2019-04-15,10000,1
105055,2019-10-27,12160,4
102931,2019-04-07,6200,4
102420,2019-06-10,20250,2
100265,2019-11-12,6491,3
103892,2019-08-11,6270,2
103727,2019-10-31,3530,1
105444,2019-01-06,8800,4
103265,2019-02-10,8024,2
102310,2019-10-09,5168,2
105212,2019-03-25,11740,2
101998,2019-05-29,13197,2
104704,2019-01-31,4710,1
101242,2019-02-12,4830,2
104075,2019-07-10,1600,1
104009,2019-09-08,2580,1
101183,2019-07-07,22000,11
105068,2019-06-22,34724,4
104976,2019-01-30,5160,2
104977,2019-08-20,6080,1
105556,2019-01-25,10800,1
102422,2019-02-05,18490,5
103378,2019-07-11,1960,1
100966,2019-06-05,7717,5
103122,2019-07-18,2677,1
105978,2019-07-29,17664,1
101317,2019-12-10,12600,1
105423,2019-06-08,3450,1
101649,2019-02-09,4950,1
102820,2019-10-10,4298,2
101898,2019-10-22,27460,3
102180,2019-05-23,44136,4
102217,2019-12-13,16864,2
102947,2019-02-13,5890,1
102098,2019-05-28,15280,1
103084,2019-12-03,4790,3
105304,2019-05-22,3960,1
101539,2019-06-15,7980,1
104018,2019-11-25,12000,2
105201,2019-01-08,48600,3
100480,2019-03-10,5310,3
104246,2019-09-07,17480,2
105296,2019-07-20,46000,1
103501,2019-07-06,2940,1
104587,2019-03-30,26200,2
102952,2019-02-19,3330,2
103738,2019-07-13,6818,4
100067,2019-07-28,3060,1
105596,2019-04-10,9890,2
101317,2019-01-15,9750,1
102974,2019-05-26,2326,2
101215,2019-03-23,7960,1
100234,2019-09-01,3384,2
105376,2019-01-16,36547,2
100507,2019-06-23,3880,1
100204,2019-07-03,8100,1
103213,2019-02-25,29914,1
104202,2019-03-24,5851,3
102825,2019-06-05,16687,2
103185,2019-12-22,3200,2
100587,2019-06-02,18690,4
101400,2019-09-15,3100,1
105838,2019-07-23,8460,1
102600,2019-12-05,12420,1
100840,2019-03-12,41840,3
104200,2019-05-07,7360,2
102109,2019-10-06,2900,1
105400,2019-07-29,4770,1
102684,2019-10-01,8500,3
103141,2019-02-02,5172,3
105124,2019-11-24,13520,1
105667,2019-04-29,23750,1
103087,2019-10-27,8900,1
103437,2019-10-10,35572,5
102831,2019-11-02,4526,2
104486,2019-02-01,8700,1
105840,2019-06-24,7400,2
102315,2019-11-06,3250,1
101465,2019-07-31,7837,4
104247,2019-12-31,4828,4
101403,2019-06-16,5697,2
103185,2019-01-27,1780,1
102506,2019-01-20,26923,1
101598,2019-09-14,6120,1
104211,2019-12-16,4320,2
101448,2019-05-05,11640,1
102648,2019-07-27,4784,1
103246,2019-09-01,1800,1
101892,2019-01-09,4628,2
105033,2019-02-27,2170,1
100527,2019-07-29,5940,2
105390,2019-12-02,4640,2
102768,2019-04-08,54785,3
100813,2019-04-23,7707,3
103781,2019-08-31,6000,2
104370,2019-10-22,1723,1
101427,2019-02-11,1000,1
105770,2019-08-18,4638,2
103701,2019-10-29,7846,1
101599,2019-05-09,17300,1
100672,2019-11-04,22041,8
103157,2019-06-10,7850,2
103349,2019-02-20,8840,1
104703,2019-07-11,23556,3
103049,2019-01-18,8802,2
100587,2019-10-26,48000,1
101386,2019-05-01,6090,1
100734,2019-12-20,11477,4
101831,2019-10-28,2877,2
100226,2019-10-26,4800,1
102931,2019-05-14,3342,2
104454,2019-07-15,15720,2
102420,2019-07-17,22385,2
100964,2019-04-27,7146,2
100939,2019-09-25,4750,2
102920,2019-11-26,1155,1
100559,2019-07-15,10908,4
100171,2019-05-06,6220,2
105677,2019-04-23,1620,1
100817,2019-05-01,2200,1
104826,2019-04-16,7480,5
105716,2019-06-16,4608,1
105910,2019-08-20,1230,1
103655,2019-11-15,15400,1
101349,2019-05-25,4250,1
105312,2019-10-23,29930,2
102166,2019-11-03,5900,2
102700,2019-04-08,7465,3
105796,2019-10-18,10830,1
104905,2019-05-02,11803,4
103949,2019-06-11,7960,1
101140,2019-05-27,10800,1
102144,2019-11-03,5400,1
104397,2019-03-08,8260,2
105068,2019-07-29,4400,2
102336,2019-08-07,11000,1
102530,2019-01-14,5200,1
101037,2019-10-12,19713,5
101675,2019-11-02,12850,2
102433,2019-10-02,6840,2
100342,2019-12-15,5700,2
104882,2019-05-03,3895,3
101666,2019-06-10,3252,2
101559,2019-12-05,13541,4
101820,2019-08-11,28481,4
104979,2019-08-10,59422,9
103815,2019-07-11,43618,2
103524,2019-12-17,3980,1
100845,2019-07-18,27935,9
104848,2019-07-01,3735,1
102512,2019-09-07,7211,2
100706,2019-07-09,11000,3
