タイムスタンプ,ロットID,idx,温度,振動
2025-02-01 08:56:10,1,218,197.625,0.652
2025-02-01 08:56:20,1,219,197.443,0.620
2025-02-01 08:56:30,1,220,197.183,0.487
2025-02-01 08:56:40,1,221,198.756,0.384
2025-02-01 08:56:50,1,222,198.545,0.468
2025-02-01 08:57:00,1,223,196.619,0.622
2025-02-01 08:57:10,1,224,198.387,0.670
2025-02-01 08:57:20,1,225,197.359,0.466
2025-02-01 08:57:30,1,226,198.793,0.482
2025-02-01 08:57:40,1,227,197.162,0.585
2025-02-01 08:57:50,1,228,198.431,0.481
2025-02-01 08:58:00,1,229,198.641,0.511
2025-02-01 08:58:10,1,230,198.099,0.557
2025-02-01 08:58:20,1,231,198.536,0.511
2025-02-01 08:58:30,1,232,197.919,0.625
2025-02-01 08:58:40,1,233,198.775,0.496
2025-02-01 08:58:50,1,234,197.996,0.546
2025-02-01 08:59:00,1,235,198.189,0.552
2025-02-01 08:59:10,1,236,198.105,0.460
2025-02-01 08:59:20,1,237,198.078,0.412
2025-02-01 08:59:30,1,238,197.930,0.613
2025-02-01 08:59:40,1,239,198.782,0.524
2025-02-01 08:59:50,1,240,199.798,0.655
2025-02-01 09:00:00,1,241,199.120,0.587
2025-02-01 09:00:10,1,242,198.425,0.464
2025-02-01 09:00:20,1,243,197.138,0.517
2025-02-01 09:00:30,1,244,197.267,0.520
2025-02-01 09:00:40,1,245,198.867,0.599
2025-02-01 09:00:50,1,246,197.253,0.531
2025-02-01 09:01:00,1,247,196.589,0.493
2025-02-01 09:01:10,1,248,198.255,0.484
2025-02-01 09:01:20,1,249,198.643,0.558
2025-02-01 09:01:30,1,250,198.212,0.433
2025-02-01 09:01:40,1,251,198.600,0.458
2025-02-01 09:01:50,1,252,198.039,0.405
2025-02-01 09:02:00,1,253,198.157,0.444
2025-02-01 09:02:10,1,254,198.709,0.487
2025-02-01 09:02:20,1,255,198.132,0.503
2025-02-01 09:02:30,1,256,196.944,0.448
2025-02-01 09:02:40,1,257,197.271,0.440
2025-02-01 09:02:50,1,258,198.322,0.412
2025-02-01 09:03:00,1,259,198.541,0.567
2025-02-01 09:03:10,1,260,198.309,0.462
2025-02-01 09:03:20,1,261,198.729,0.509
2025-02-01 09:03:30,1,262,197.771,0.546
2025-02-01 09:03:40,1,263,198.889,0.691
2025-02-01 09:03:50,1,264,197.336,0.661
2025-02-01 09:04:00,1,265,197.035,0.500
2025-02-01 09:04:10,1,266,197.680,0.530
2025-02-01 09:04:20,1,267,199.087,0.635
2025-02-01 09:04:30,1,268,197.976,0.422
2025-02-01 09:04:40,1,269,198.647,0.401
2025-02-01 09:04:50,1,270,197.194,0.431
2025-02-01 09:05:00,1,271,198.731,0.487
2025-02-01 09:05:10,1,272,197.728,0.545
2025-02-01 09:05:20,1,273,197.387,0.626
2025-02-01 09:05:30,1,274,198.691,0.621
2025-02-01 09:05:40,1,275,197.916,0.468
2025-02-01 09:05:50,1,276,198.548,0.595
2025-02-01 09:06:00,1,277,198.759,0.406
2025-02-01 09:06:10,1,278,198.095,0.455
2025-02-01 09:06:20,1,279,198.524,0.473
2025-02-01 09:06:30,1,280,197.820,0.517
2025-02-01 09:06:40,1,281,197.932,0.536
2025-02-01 09:06:50,1,282,197.602,0.576
2025-02-01 09:07:00,1,283,197.846,0.576
2025-02-01 09:07:10,1,284,198.300,0.603
2025-02-01 09:07:20,1,285,197.593,0.454
2025-02-01 09:07:30,1,286,198.816,0.465
2025-02-01 09:07:40,1,287,196.771,0.477
2025-02-01 09:07:50,1,288,198.563,0.557
2025-02-01 09:08:00,1,289,197.449,0.516
2025-02-01 09:08:10,1,290,197.665,0.541
2025-02-01 09:08:20,1,291,197.527,0.515
2025-02-01 09:08:30,1,292,198.438,0.391
2025-02-01 09:08:40,1,293,199.292,0.461
2025-02-01 09:08:50,1,294,198.523,0.518
2025-02-01 09:09:00,1,295,196.752,0.498
2025-02-01 09:09:10,1,296,198.544,0.444
2025-02-01 09:09:20,1,297,198.339,0.502
2025-02-01 09:09:30,1,298,197.134,0.533
2025-02-01 09:09:40,1,299,198.466,0.544
2025-02-01 09:09:50,1,300,198.728,0.528
2025-02-01 09:10:00,1,301,198.664,0.579
2025-02-01 09:10:10,1,302,198.527,0.335
2025-02-01 09:10:20,1,303,197.812,0.531
2025-02-01 09:10:30,1,304,199.209,0.496
2025-02-01 09:10:40,1,305,198.025,0.454
2025-02-01 09:10:50,1,306,197.639,0.502
2025-02-01 09:11:00,1,307,197.345,0.451
2025-02-01 09:11:10,1,308,198.249,0.370
2025-02-01 09:11:20,1,309,198.422,0.484
2025-02-01 09:11:30,1,310,198.667,0.458
2025-02-01 09:11:40,1,311,198.896,0.635
2025-02-01 09:11:50,1,312,198.058,0.420
2025-02-01 09:12:00,1,313,197.152,0.450
2025-02-01 09:12:10,1,314,198.561,0.543
2025-02-01 09:12:20,1,315,198.870,0.419
2025-02-01 09:12:30,1,316,198.486,0.457
2025-02-01 09:12:40,1,317,198.044,0.442
2025-02-01 09:12:50,1,318,196.924,0.540
2025-02-01 09:13:00,1,319,198.110,0.534
2025-02-01 09:13:10,1,320,197.318,0.529
2025-02-01 09:13:20,1,321,197.753,0.405
2025-02-01 09:13:30,1,322,197.171,0.559
2025-02-01 09:13:40,1,323,197.881,0.415
2025-02-01 09:13:50,1,324,198.052,0.514
2025-02-01 09:14:00,1,325,198.992,0.443
2025-02-01 09:14:10,1,326,198.370,0.432
2025-02-01 09:14:20,1,327,198.049,0.576
2025-02-01 09:14:30,1,328,198.572,0.508
2025-02-01 09:14:40,1,329,197.969,0.494
2025-02-01 09:14:50,1,330,196.184,0.443
2025-02-01 11:20:00,2,1,185.069,0.542
2025-02-01 11:20:10,2,2,186.509,0.610
2025-02-01 11:20:20,2,3,184.404,0.493
2025-02-01 11:20:30,2,4,185.152,0.389
2025-02-01 11:20:40,2,5,185.486,0.550
2025-02-01 11:20:50,2,6,184.441,0.495
2025-02-01 11:21:00,2,7,185.148,0.475
2025-02-01 11:21:10,2,8,185.825,0.423
2025-02-01 11:21:20,2,9,186.016,0.567
2025-02-01 11:21:30,2,10,186.188,0.626
2025-02-01 11:21:40,2,11,185.760,0.540
2025-02-01 11:21:50,2,12,185.365,0.325
2025-02-01 11:22:00,2,13,186.626,0.432
2025-02-01 11:22:10,2,14,186.758,0.453
2025-02-01 11:22:20,2,15,183.760,0.567
2025-02-01 11:22:30,2,16,185.524,0.536
2025-02-01 11:22:40,2,17,185.579,0.513
2025-02-01 11:22:50,2,18,185.516,0.605
2025-02-01 11:23:00,2,19,185.085,0.407
2025-02-01 11:23:10,2,20,185.032,0.506
2025-02-01 11:23:20,2,21,184.307,0.528
2025-02-01 11:23:30,2,22,186.097,0.576
2025-02-01 11:23:40,2,23,186.903,0.491
2025-02-01 11:23:50,2,24,186.095,0.529
2025-02-01 11:24:00,2,25,186.371,0.456
2025-02-01 11:24:10,2,26,185.982,0.545
2025-02-01 11:24:20,2,27,186.697,0.517
2025-02-01 11:24:30,2,28,186.155,0.400
2025-02-01 11:24:40,2,29,185.819,0.487
2025-02-01 11:24:50,2,30,186.301,0.585
2025-02-01 11:25:00,2,31,184.036,0.510
2025-02-01 11:25:10,2,32,185.703,0.458
2025-02-01 11:25:20,2,33,187.134,0.360
2025-02-01 11:25:30,2,34,187.046,0.548
2025-02-01 11:25:40,2,35,185.187,0.501
2025-02-01 11:25:50,2,36,185.840,0.615
2025-02-01 11:26:00,2,37,185.983,0.493
2025-02-01 11:26:10,2,38,184.081,0.417
2025-02-01 11:26:20,2,39,184.639,0.514
2025-02-01 11:26:30,2,40,186.959,0.478
2025-02-01 11:26:40,2,41,186.113,0.522
2025-02-01 11:26:50,2,42,185.059,0.377
2025-02-01 11:27:00,2,43,184.988,0.413
2025-02-01 11:27:10,2,44,186.090,0.503
2025-02-01 11:27:20,2,45,185.328,0.493
2025-02-01 11:27:30,2,46,186.548,0.478
2025-02-01 11:27:40,2,47,185.511,0.567
2025-02-01 11:27:50,2,48,185.087,0.631
2025-02-01 11:28:00,2,49,185.760,0.407
2025-02-01 11:28:10,2,50,185.536,0.561
2025-02-01 11:28:20,2,51,185.653,0.536
2025-02-01 11:28:30,2,52,185.590,0.497
2025-02-01 11:28:40,2,53,185.463,0.505
2025-02-01 11:28:50,2,54,184.988,0.499
2025-02-01 11:29:00,2,55,185.281,0.394
2025-02-01 11:29:10,2,56,186.432,0.470
2025-02-01 11:29:20,2,57,186.717,0.539
2025-02-01 11:29:30,2,58,186.316,0.539
2025-02-01 11:29:40,2,59,184.430,0.517
2025-02-01 11:29:50,2,60,184.941,0.514
2025-02-01 11:30:00,2,61,187.056,0.392
2025-02-01 11:30:10,2,62,186.234,0.462
2025-02-01 11:30:20,2,63,186.327,0.460
2025-02-01 11:30:30,2,64,186.910,0.550
2025-02-01 11:30:40,2,65,186.202,0.548
2025-02-01 11:30:50,2,66,185.827,0.611
2025-02-01 11:31:00,2,67,185.655,0.493
2025-02-01 11:31:10,2,68,186.387,0.646
2025-02-01 11:31:20,2,69,185.581,0.550
2025-02-01 11:31:30,2,70,185.426,0.598
2025-02-01 11:31:40,2,71,186.287,0.556
2025-02-01 11:31:50,2,72,185.516,0.483
2025-02-01 11:32:00,2,73,186.022,0.520
2025-02-01 11:32:10,2,74,186.280,0.505
2025-02-01 11:32:20,2,75,186.529,0.511
2025-02-01 11:32:30,2,76,185.860,0.457
2025-02-01 11:32:40,2,77,186.706,0.586
2025-02-01 11:32:50,2,78,186.322,0.466
2025-02-01 11:33:00,2,79,186.416,0.363
2025-02-01 11:33:10,2,80,185.812,0.492
2025-02-01 11:33:20,2,81,185.307,0.534
2025-02-01 11:33:30,2,82,186.422,0.540
2025-02-01 11:33:40,2,83,185.890,0.473
2025-02-01 11:33:50,2,84,186.440,0.543
2025-02-01 11:34:00,2,85,185.876,0.568
2025-02-01 11:34:10,2,86,185.520,0.426
2025-02-01 11:34:20,2,87,184.730,0.375
2025-02-01 11:34:30,2,88,184.295,0.471
2025-02-01 11:34:40,2,89,186.061,0.490
2025-02-01 11:34:50,2,90,185.116,0.470
2025-02-01 11:35:00,2,91,185.475,0.537
2025-02-01 11:35:10,2,92,186.003,0.576
2025-02-01 11:35:20,2,93,185.602,0.544
2025-02-01 11:35:30,2,94,185.509,0.412
2025-02-01 11:35:40,2,95,186.941,0.507
2025-02-01 11:35:50,2,96,185.426,0.547
2025-02-01 11:36:00,2,97,186.088,0.380
2025-02-01 11:36:10,2,98,186.085,0.618
2025-02-01 11:36:20,2,99,184.851,0.490
2025-02-01 11:36:30,2,100,186.010,0.658
2025-02-01 11:36:40,2,101,185.298,0.611
2025-02-01 11:36:50,2,102,186.277,0.489
2025-02-01 11:37:00,2,103,185.577,0.452
2025-02-01 11:37:10,2,104,185.146,0.500
2025-02-01 11:37:20,2,105,187.229,0.604
2025-02-01 11:37:30,2,106,184.727,0.500
2025-02-01 11:37:40,2,107,185.960,0.606
2025-02-01 11:37:50,2,108,186.563,0.440
2025-02-01 11:38:00,2,109,185.578,0.510
2025-02-01 11:38:10,2,110,186.518,0.524
2025-02-01 11:38:20,2,111,186.758,0.463
2025-02-01 11:38:30,2,112,186.904,0.525
2025-02-01 11:38:40,2,113,185.471,0.526
2025-02-01 11:38:50,2,114,187.151,0.494
2025-02-01 11:39:00,2,115,185.825,0.383
2025-02-01 11:39:10,2,116,187.276,0.594
2025-02-01 11:39:20,2,117,184.767,0.549
2025-02-01 11:39:30,2,118,186.147,0.558
2025-02-01 11:39:40,2,119,185.310,0.518
2025-02-01 11:39:50,2,120,187.236,0.583
2025-02-01 11:40:00,2,121,186.297,0.527
2025-02-01 11:40:10,2,122,186.199,0.500
2025-02-01 11:40:20,2,123,185.583,0.627
2025-02-01 11:40:30,2,124,185.034,0.521
2025-02-01 11:40:40,2,125,185.797,0.549
2025-02-01 11:40:50,2,126,185.912,0.667
2025-02-01 11:41:00,2,127,186.440,0.493
2025-02-01 11:41:10,2,128,185.068,0.539
2025-02-01 11:41:20,2,129,186.774,0.516
2025-02-01 11:41:30,2,130,186.038,0.496
2025-02-01 11:41:40,2,131,186.502,0.537
2025-02-01 11:41:50,2,132,184.693,0.538
2025-02-01 11:42:00,2,133,186.572,0.552
2025-02-01 11:42:10,2,134,185.778,0.484
2025-02-01 11:42:20,2,135,186.775,0.626
2025-02-01 11:42:30,2,136,184.228,0.622
2025-02-01 11:42:40,2,137,185.814,0.584
2025-02-01 11:42:50,2,138,186.255,0.505
2025-02-01 11:43:00,2,139,185.725,0.446
2025-02-01 11:43:10,2,140,185.833,0.476
2025-02-01 11:43:20,2,141,185.382,0.528
2025-02-01 11:43:30,2,142,186.200,0.546
2025-02-01 11:43:40,2,143,185.467,0.676
2025-02-01 11:43:50,2,144,185.637,0.522
2025-02-01 11:44:00,2,145,187.678,0.608
2025-02-01 11:44:10,2,146,184.655,0.519
2025-02-01 11:44:20,2,147,186.524,0.617
2025-02-01 11:44:30,2,148,186.065,0.631
2025-02-01 11:44:40,2,149,186.698,0.543
2025-02-01 11:44:50,2,150,185.998,0.485
2025-02-01 11:45:00,2,151,186.570,0.540
2025-02-01 11:45:10,2,152,186.155,0.445
2025-02-01 11:45:20,2,153,185.355,0.572
2025-02-01 11:45:30,2,154,186.055,0.527
2025-02-01 11:45:40,2,155,186.131,0.475
2025-02-01 11:45:50,2,156,187.172,0.500
2025-02-01 11:46:00,2,157,185.369,0.510
2025-02-01 11:46:10,2,158,185.275,0.569
2025-02-01 11:46:20,2,159,186.476,0.488
2025-02-01 11:46:30,2,160,185.926,0.314
2025-02-01 11:46:40,2,161,186.106,0.537
2025-02-01 11:46:50,2,162,186.128,0.530
2025-02-01 11:47:00,2,163,185.859,0.518
2025-02-01 11:47:10,2,164,185.563,0.489
2025-02-01 11:47:20,2,165,186.820,0.524
2025-02-01 11:47:30,2,166,184.345,0.624
2025-02-01 11:47:40,2,167,186.230,0.523
2025-02-01 11:47:50,2,168,186.335,0.540
2025-02-01 11:48:00,2,169,184.342,0.490
2025-02-01 11:48:10,2,170,185.649,0.581
2025-02-01 11:48:20,2,171,186.513,0.478
2025-02-01 11:48:30,2,172,185.572,0.657
2025-02-01 11:48:40,2,173,185.295,0.570
2025-02-01 11:48:50,2,174,186.226,0.455
2025-02-01 11:49:00,2,175,184.206,0.485
2025-02-01 11:49:10,2,176,184.599,0.369
2025-02-01 11:49:20,2,177,184.718,0.472
2025-02-01 11:49:30,2,178,186.166,0.486
2025-02-01 11:49:40,2,179,186.810,0.523
2025-02-01 11:49:50,2,180,184.866,0.498
2025-02-01 11:50:00,2,181,185.569,0.487
2025-02-01 11:50:10,2,182,186.203,0.609
2025-02-01 11:50:20,2,183,185.068,0.539
2025-02-01 11:50:30,2,184,187.315,0.498
2025-02-01 11:50:40,2,185,185.658,0.355
2025-02-01 11:50:50,2,186,185.952,0.435
2025-02-01 11:51:00,2,187,186.272,0.461
2025-02-01 11:51:10,2,188,185.929,0.464
2025-02-01 11:51:20,2,189,185.450,0.387
2025-02-01 11:51:30,2,190,185.998,0.461
2025-02-01 11:51:40,2,191,184.611,0.536
2025-02-01 11:51:50,2,192,184.864,0.429
2025-02-01 11:52:00,2,193,186.141,0.429
2025-02-01 11:52:10,2,194,185.992,0.549
2025-02-01 11:52:20,2,195,185.561,0.481
2025-02-01 11:52:30,2,196,186.429,0.505
2025-02-01 11:52:40,2,197,186.885,0.463
2025-02-01 11:52:50,2,198,186.166,0.596
2025-02-01 11:53:00,2,199,185.322,0.503
2025-02-01 11:53:10,2,200,186.507,0.507
2025-02-01 11:53:20,2,201,187.075,0.440
2025-02-01 11:53:30,2,202,184.928,0.538
2025-02-01 11:53:40,2,203,185.686,0.552
2025-02-01 11:53:50,2,204,186.119,0.450
2025-02-01 11:54:00,2,205,185.490,0.520
2025-02-01 11:54:10,2,206,185.912,0.486
2025-02-01 11:54:20,2,207,185.716,0.444
2025-02-01 11:54:30,2,208,186.106,0.463
2025-02-01 11:54:40,2,209,185.153,0.504
2025-02-01 11:54:50,2,210,187.033,0.480
2025-02-01 11:55:00,2,211,184.910,0.583
2025-02-01 11:55:10,2,212,185.706,0.455
2025-02-01 11:55:20,2,213,185.512,0.477
2025-02-01 11:55:30,2,214,185.661,0.527
2025-02-01 11:55:40,2,215,185.687,0.365
2025-02-01 11:55:50,2,216,185.779,0.523
2025-02-01 11:56:00,2,217,187.126,0.465
2025-02-01 11:56:10,2,218,185.383,0.404
2025-02-01 11:56:20,2,219,185.614,0.383
2025-02-01 11:56:30,2,220,185.413,0.471
2025-02-01 11:56:40,2,221,185.251,0.491
2025-02-01 11:56:50,2,222,186.310,0.444
2025-02-01 11:57:00,2,223,185.780,0.505
2025-02-01 11:57:10,2,224,184.939,0.562
2025-02-01 11:57:20,2,225,184.836,0.364
2025-02-01 11:57:30,2,226,185.707,0.511
2025-02-01 11:57:40,2,227,187.082,0.498
2025-02-01 11:57:50,2,228,185.259,0.500
